Method;Parent_MOTU;n_ward_subgroups;diagnosable_ward;ward_list
ASAP;6;4;2;14, 15, 16, 17
ASAP;7;2;2;18, 19
ASAP;8;2;2;20, 21
ASAP;9;5;3;22, 23, 24, 25, 26
ASAP;11;6;3;28, 29, 30, 31, 32, 33
ASAP;13;4;2;41, 42, 43, 44
ASAP;14;5;2;45, 46, 47, 48, 49
bGMYC;2;7;3;45, 46, 47, 48, 49, 50, 51
bGMYC;3;17;6;28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44
bGMYC;5;2;2;20, 21
bGMYC;6;5;3;22, 23, 24, 25, 26
bGMYC;9;7;2;1, 2, 3, 4, 5, 6, 7
bGMYC;10;2;2;18, 19
bGMYC;11;4;2;14, 15, 16, 17
KoT;2;6;3;28, 29, 30, 31, 32, 33
KoT;4;2;2;14, 15
KoT;8;2;2;18, 19
KoT;9;5;3;22, 23, 24, 25, 26
KoT;24;2;2;20, 21
