"count","probability","cluster"
15992,0.9995,"Liederobosmina_tanakai02"
15973,0.9983125,"KY091157_B_sp_Taihuzoo	LC215471_B_fatalis	LC215472_B_fatalis	LC215473_B_fatalis	LC215474_B_fatalis	LC215475_B_fatalis	MW770308_B_fatalis"
14606,0.912875,"Lunobosmina_oriens_USA11i	Lunobosmina_oriens_USA16a	Lunobosmina_oriens_USA16b	Lunobosmina_oriens_USA22a"
13831,0.8644375,"KC508661_B_meridionalis	KC508662_B_meridionalis	Liederobosmina_meridionalis_Australia01a	Liederobosmina_meridionalis_Australia02a	Liederobosmina_meridionalis_Australia02b"
13721,0.8575625,"BROA022N21_Bosmina_Brazil_BOLD_AEO1713	BROA080N21_Bosmina_Brazil_BOLD_AEO1713	Liederobosmina_Argentina02a	Liederobosmina_Argentina02b	Liederobosmina_Argentina02c	PV786644_B_sp	ZPLV327N18_Bosmina_Colombia_BOLD_ADO6195	ZPLV328N18_Bosmina_Colombia_BOLD_ADO6195	ZPLV330N18_Bosmina_Colombia_BOLD_ADO6195	ZPLV333N18_Bosmina_Colombia_BOLD_ADO6195	ZPLV337N18_Bosmina_Colombia_BOLD_ADO6195	ZPLV371N18_Bosmina_Colombia_BOLD_ADO6195"
13409,0.8380625,"BACZP1167N16_B_liederi_Canada_BOLD_ABZ8276	BACZP1230N16_B_liederi_Canada_BOLD_ABZ8276	BACZP1255N16_B_liederi_Canada_BOLD_ABZ8276	CAISN079N12_B_liederi_Canada_BOLD_ABZ8276	COAPP287N13_Bosmina_Canada_BOLD_AAI4721	COAPP288N13_Bosmina_Canada_BOLD_AAI4721	COAPP297N13_Bosmina_Canada_BOLD_AAI4721	COAPP411N13_B_liederi_Canada_BOLD_ABZ8276	ESP199N12_B_liederi_Spain_BOLD_ABZ8276	ESP200N12_B_liederi_Spain_BOLD_ABZ8276	ESP201N12_B_liederi_Spain_BOLD_ABZ8276	EU702002_B_sp_BOLD_AAI4721	GLC040N06_B_liederi_Canada_Great_Lakes	HQ966466_B_liederi	HQ966467_B_liederi	HQ966468_B_liederi	HQ966469_B_liederi	HQ966470_B_liederi	HQ966471_B_liederi	JN233822_B_liederi	JN233823_B_liederi	JN233824_B_liederi	KT705731_B_liederi	KT706147_B_liederi	KT707374_B_liederi	KT707760_B_liederi	MG448613_B_liederi	MG448631_B_liederi	MG448650_B_liederi	MG448657_B_liederi	MG448707_B_liederi	MG448765_B_liederi	MG448819_B_liederi	MG448897_B_liederi	MG448968_B_liederi	MG448971_B_liederi	MG449046_B_liederi	MG449067_B_liederi	MG449077_B_liederi	MG449102_B_liederi	MG449147_B_liederi	MG449180_B_liederi	MG449184_B_liederi	MG449207_B_liederi	MG449247_B_liederi	MG449253_B_liederi	MG449265_B_liederi	MG449273_B_liederi	MG449280_B_liederi	MG449315_B_liederi	MG449317_B_liederi	MG449340_B_liederi	MG449357_B_liederi	MG449359_B_liederi	MG449386_B_liederi	MG449436_B_liederi	MG449441_B_liederi	MG449478_B_liederi	MG449481_B_liederi	MG449492_B_liederi	MG449530_B_liederi	MG449575_B_liederi	MG449583_B_liederi	MG449668_B_liederi	MG449685_B_liederi	MG449712_B_liederi	MG449716_B_liederi	MG449744_B_liederi	MG449799_B_liederi	MG449821_B_liederi	MG449841_B_liederi	MG449847_B_liederi	MG449857_B_liederi	MG449875_B_liederi	MG449888_B_liederi	MG449897_B_liederi	MG449969_B_liederi	MG449972_B_liederi	MG450047_B_liederi	MG450050_B_liederi	MG450151_B_liederi_AK	MG450153_B_liederi	MG450170_B_liederi	MG450174_B_liederi	MG450204_B_liederi	MG450208_B_liederi	MG450272_B_liederi	MG450291_B_liederi	MG450294_B_liederi	MG450318_B_liederi	OP829920_B_liederi	OP829953_B_liederi	OP830059_B_liederi	OP830104_B_liederi	OP830155_B_liederi	OP830253_B_liederi	OP830311_B_liederi"
13076,0.81725,"CAISN020N12_Bosmina_Canada_BOLD_AAW7791	CAISN022N12_Bosmina_Canada_BOLD_AAW7791	CAISN034N12_Bosmina_Canada_BOLD_AAW7791	CAISN035N12_Bosmina_Canada_BOLD_AAW7791	CAISN914N13_B_sp_Canada_BOLD_AAW7791	DNARA1511N21_Bosmina_Canada_BOLD_AEA3695	DNARA1513N21_Bosmina_Canada_BOLD_AEA3695	DNARA2094N21_Bosmina_Canada_BOLD_AEA3695	DNARA2096N21_Bosmina_Canada_BOLD_AEA3695	DNARA2097N21_Bosmina_Canada_BOLD_AEA3695	DNARA2325N21_Bosmina_Canada_BOLD_AEA3695	DNARA2326N21_Bosmina_Canada_BOLD_AEA3695	DNARA2371N21_Bosmina_Canada_BOLD_AEA3695	DNARA2372N21_Bosmina_Canada_BOLD_AEA3695	DNARA2373N21_Bosmina_Canada_BOLD_AEA3695	DNARA2374N21_Bosmina_Canada_BOLD_AEA3695	DNARA2375N21_Bosmina_Canada_BOLD_AEA3695	DNARA2952N21_Bosmina_Canada_BOLD_AEA3695	DNARA2953N21_Bosmina_Canada_BOLD_AEA3695	DNARA2954N21_Bosmina_Canada_BOLD_AEA3695	DNARA2955N21_Bosmina_Canada_BOLD_AEA3695	DNARA2956N21_Bosmina_Canada_BOLD_AEA3695	DNARA2957N21_Bosmina_Canada_BOLD_AEA3695	DNARC013N19_Bosmina_Canada_BOLD_AEA3695	DQ310635_B_sp1_JRdWN2005	DQ889083_B_sp_BOLD_AAW7791	GCHAR1120N19_Bosmina_Canada_BOLD_AEA3695	GCHAR1121N19_Bosmina_Canada_BOLD_AEA3695	GCHAR1122N19_Bosmina_Canada_BOLD_AEA3695	Liederobosmina_american_longispina02	MG449616_B_sp	MG936043_B_sp	MG936238_B_sp	MG936240_B_sp	MG936261_B_sp	MG936530_B_sp	MG936534_B_sp	MH321381_Eubosmina_longispina	MH321382_Eubosmina_longispina	MH321383_Eubosmina_longispina	MH321384_Eubosmina_longispina	MH321385_Eubosmina_longispina	MH321386_Eubosmina_longispina	MH321387_Eubosmina_longispina	MH321388_Eubosmina_longispina	MH321389_Eubosmina_longispina	MH321390_Eubosmina_longispina	MH321391_Eubosmina_longispina	MH321392_Eubosmina_longispina	MH321393_Eubosmina_longispina	MH321394_Eubosmina_longispina	MH321395_Eubosmina_longispina	MH321396_Eubosmina_longispina	MZ964905_B_sp1	MZ964907_B_sp1	OP829924_B_cf_longispina	OP829977_B_cf_coregoni	OP830017_B_cf_longispina	OP830043_B_cf_coregoni	OP830119_B_cf_longispina	OP830153_B_cf_longispina	OP830166_B_cf_longispina	OP830246_B_cf_coregoni	OP830292_B_cf_longispina	ZOOPS187N18_B_cf_longispina_Finland_BOLD_AAW7791	ZOOPS188N18_B_cf_longispina_Finland_BOLD_ADR9483"
12863,0.8039375,"AY075057_B_coregoni	B_longirostris_Argentina01aa	B_longirostris_Argentina03aa	B_longirostris_Argentina04aa	B_longirostris_Argentina05aa	B_longirostris_Argentina06aa	CAISN069N12_Bosmina_Canada_BOLD_ACL8120	DNARA1185N21_Bosmina_Canada_BOLD_AEA5586	DNARA1186N21_Bosmina_Canada_BOLD_AEA5586	DNARA1187N21_Bosmina_Canada_BOLD_AEA5586	DNARA1188N21_Bosmina_Canada_BOLD_AEA5586	DNARA1189N21_Bosmina_Canada_BOLD_AEA5586	DNARA1190N21_Bosmina_Canada_BOLD_AEA5586	DNARA1191N21_Bosmina_Canada_BOLD_AEA5586	DNARA1626N21_Bosmina_Canada_BOLD_AEA5586	DNARA1627N21_Bosmina_Canada_BOLD_AEA5586	DNARA1628N21_Bosmina_Canada_BOLD_AEA5586	DNARA1629N21_Bosmina_Canada_BOLD_AEA5586	DNARA1631N21_Bosmina_Canada_BOLD_AEA5586	DNARA1632N21_Bosmina_Canada_BOLD_AEA5586	DNARA1653N21_Bosmina_Canada_BOLD_AEA5586	DNARA1655N21_Bosmina_Canada_BOLD_AEA5586	DNARA1658N21_Bosmina_Canada_BOLD_AEA5586	DNARA1659N21_Bosmina_Canada_BOLD_AEA5586	DNARA1660N21_Bosmina_Canada_BOLD_AEA5586	DNARA1666N21_Bosmina_Canada_BOLD_AEA5586	DNARA1667N21_Bosmina_Canada_BOLD_AEA5586	DNARA1809N21_Bosmina_Canada_BOLD_AEA5586	DNARA1821N21_Bosmina_Canada_BOLD_AEA5586	DNARA1822N21_Bosmina_Canada_BOLD_AEA5586	DNARA1823N21_Bosmina_Canada_BOLD_AEA5586	DNARC068N19_Bosmina_Canada_BOLD_AEA5586	DNARC070N19_Bosmina_Canada_BOLD_AEA5586	ESP197N12_Bosmina_Spain_BOLD_ACA1800	ESP198N12_Bosmina_Spain_BOLD_ACA1800	ESP292N12_B_longirostris_Spain_BOLD_ACA9544	ESP505N14_B_meridionalis_Czechia_BOLD_AAO1376	ESP506N14_Bosmina_Czechia_BOLD_AAO1376	ESP507N14_B_meridionalis_Czechia_BOLD_AAO1376	ESP508N14_B_meridionalis_Czechia_BOLD_AAO1376	ESP509N14_B_meridionalis_Czechia_BOLD_AAO1376	KINBZ001N22_B_longirostris_Israel_BOLD_AEO5856	KINBZ002N22_B_longirostris_Israel_BOLD_AEO5856	KINBZ003N22_B_longirostris_Israel_BOLD_AEO5856	KINBZ004N22_B_longirostris_Israel_BOLD_AEO5856	KINBZ005N22_B_longirostris_Israel_BOLD_AEO5856	KINBZ006N22_B_longirostris_Israel_BOLD_AEO5856	KINBZ007N22_B_longirostris_Israel_BOLD_AEO5856	KINBZ008N22_B_longirostris_Israel_BOLD_AEO5856	KINBZ009N22_B_longirostris_Israel_BOLD_AAO1376	KINBZ010N22_B_longirostris_Israel_BOLD_AEO5856	KINBZ011N22_B_longirostris_Israel_BOLD_AEO5856	LC215476_B_cf_longirostris"
12541,0.7838125,"Liederobosmina_chilense_Argentina08a	Liederobosmina_chilense_Argentina08b	Liederobosmina_chilense_Argentina08c	Liederobosmina_chilense_Argentina08d	Liederobosmina_chilense_Argentina09a	Liederobosmina_chilense_Chile02a"
12402,0.775125,"Liederobosmina_Argentina03a	Liederobosmina_Argentina03b	Liederobosmina_Argentina03c	Liederobosmina_Argentina03d"
