Sequence;MOTU_ABGD
ANDEA005N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA006N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA007N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA008N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA013N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA024N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA037N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA038N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA039N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA040N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA053N22_Bosmina_Colombia_BOLD_AFG0616;1
ANDEA054N22_Bosmina_Colombia_BOLD_AFG0616;1
ANDEA055N22_Bosmina_Colombia_BOLD_AFG0616;1
AY075057_B_coregoni;2
B_longirostris_Argentina01aa;2
B_longirostris_Argentina03aa;2
B_longirostris_Argentina04aa;2
B_longirostris_Argentina05aa;2
B_longirostris_Argentina06aa;2
CAISN069N12_Bosmina_Canada_BOLD_ACL8120;2
DNARA1185N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1186N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1187N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1188N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1189N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1190N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1191N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1626N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1627N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1628N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1629N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1631N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1632N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1653N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1655N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1658N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1659N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1660N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1666N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1667N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1809N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1821N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1822N21_Bosmina_Canada_BOLD_AEA5586;2
DNARA1823N21_Bosmina_Canada_BOLD_AEA5586;2
DNARC068N19_Bosmina_Canada_BOLD_AEA5586;2
DNARC070N19_Bosmina_Canada_BOLD_AEA5586;2
ESP197N12_Bosmina_Spain_BOLD_ACA1800;2
ESP198N12_Bosmina_Spain_BOLD_ACA1800;2
ESP292N12_B_longirostris_Spain_BOLD_ACA9544;2
ESP505N14_B_meridionalis_Czechia_BOLD_AAO1376;2
ESP506N14_Bosmina_Czechia_BOLD_AAO1376;2
ESP507N14_B_meridionalis_Czechia_BOLD_AAO1376;2
ESP508N14_B_meridionalis_Czechia_BOLD_AAO1376;2
ESP509N14_B_meridionalis_Czechia_BOLD_AAO1376;2
KINBZ001N22_B_longirostris_Israel_BOLD_AEO5856;2
KINBZ002N22_B_longirostris_Israel_BOLD_AEO5856;2
KINBZ003N22_B_longirostris_Israel_BOLD_AEO5856;2
KINBZ004N22_B_longirostris_Israel_BOLD_AEO5856;2
KINBZ005N22_B_longirostris_Israel_BOLD_AEO5856;2
KINBZ006N22_B_longirostris_Israel_BOLD_AEO5856;2
KINBZ007N22_B_longirostris_Israel_BOLD_AEO5856;2
KINBZ008N22_B_longirostris_Israel_BOLD_AEO5856;2
KINBZ009N22_B_longirostris_Israel_BOLD_AAO1376;2
KINBZ010N22_B_longirostris_Israel_BOLD_AEO5856;2
KINBZ011N22_B_longirostris_Israel_BOLD_AEO5856;2
LC215476_B_cf_longirostris;2
BACZP1167N16_B_liederi_Canada_BOLD_ABZ8276;3
BACZP1230N16_B_liederi_Canada_BOLD_ABZ8276;3
BACZP1255N16_B_liederi_Canada_BOLD_ABZ8276;3
CAISN079N12_B_liederi_Canada_BOLD_ABZ8276;3
COAPP287N13_Bosmina_Canada_BOLD_AAI4721;3
COAPP288N13_Bosmina_Canada_BOLD_AAI4721;3
COAPP297N13_Bosmina_Canada_BOLD_AAI4721;3
COAPP411N13_B_liederi_Canada_BOLD_ABZ8276;3
ESP199N12_B_liederi_Spain_BOLD_ABZ8276;3
ESP200N12_B_liederi_Spain_BOLD_ABZ8276;3
ESP201N12_B_liederi_Spain_BOLD_ABZ8276;3
EU702002_B_sp_BOLD_AAI4721;3
GLC040N06_B_liederi_Canada_Great_Lakes;3
HQ966466_B_liederi;3
HQ966467_B_liederi;3
HQ966468_B_liederi;3
HQ966469_B_liederi;3
HQ966470_B_liederi;3
HQ966471_B_liederi;3
JN233822_B_liederi;3
JN233823_B_liederi;3
JN233824_B_liederi;3
KT705731_B_liederi;3
KT706147_B_liederi;3
KT707374_B_liederi;3
KT707760_B_liederi;3
MG448613_B_liederi;3
MG448631_B_liederi;3
MG448650_B_liederi;3
MG448657_B_liederi;3
MG448707_B_liederi;3
MG448765_B_liederi;3
MG448819_B_liederi;3
MG448897_B_liederi;3
MG448968_B_liederi;3
MG448971_B_liederi;3
MG449046_B_liederi;3
MG449067_B_liederi;3
MG449077_B_liederi;3
MG449102_B_liederi;3
MG449147_B_liederi;3
MG449180_B_liederi;3
MG449184_B_liederi;3
MG449207_B_liederi;3
MG449247_B_liederi;3
MG449253_B_liederi;3
MG449265_B_liederi;3
MG449273_B_liederi;3
MG449280_B_liederi;3
MG449315_B_liederi;3
MG449317_B_liederi;3
MG449340_B_liederi;3
MG449357_B_liederi;3
MG449359_B_liederi;3
MG449386_B_liederi;3
MG449436_B_liederi;3
MG449441_B_liederi;3
MG449478_B_liederi;3
MG449481_B_liederi;3
MG449492_B_liederi;3
MG449530_B_liederi;3
MG449575_B_liederi;3
MG449583_B_liederi;3
MG449668_B_liederi;3
MG449685_B_liederi;3
MG449712_B_liederi;3
MG449716_B_liederi;3
MG449744_B_liederi;3
MG449799_B_liederi;3
