Sequence;MOTU_bGMYC_005
KY091157_B_sp_Taihuzoo;1
LC215471_B_fatalis;1
LC215472_B_fatalis;1
LC215475_B_fatalis;1
LC215474_B_fatalis;1
LC215473_B_fatalis;1
MW770308_B_fatalis;1
KC616781_B_cf_liederi;2
KC616785_B_cf_liederi;2
KC617498_B_cf_liederi;2
KC616784_B_cf_liederi;2
KC617497_B_cf_liederi;2
KC617495_B_cf_liederi;2
KC616783_B_cf_liederi;2
KC617496_B_cf_liederi;2
KC616782_B_cf_liederi;2
KC617499_B_cf_liederi;2
COAPP303N13_Bosmina_Canada_BOLD_ACA6834;2
COAPP296N13_Bosmina_Canada_BOLD_ACA6834;2
COAPP530N13_Bosmina_Canada_BOLD_ACA6834;2
BBCRU249N12_Bosmina_Canada_BOLD_ACA6834;2
KU315493_B_freyi;2
LC215481_B_sp;2
ECCAJ270N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ268N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ480N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ485N24_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ494N24_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ051N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ040N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ039N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ305N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ025N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ036N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ114N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ317N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ129N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ067N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ134N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ133N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ131N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ247N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ132N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ136N23_Bosmina_Ecuador_BOLD_ACA6834;2
ECCAJ280N23_Bosmina_Ecuador_BOLD_ACA6834;2
EU702000_B_sp_BOLD_AAI4722;2
EU702001_B_sp_BOLD_AAI4722;2
BBCRU025N10_Bosmina_Canada_BOLD_AAV0686;2
JN290618_Anomopoda_sp_BOLD_AAV0686;2
JN290622_Anomopoda_sp_BOLD_AAV0686;2
JN290620_Anomopoda_sp_BOLD_AAV0686;2
KM611608_B_sp_BOLD_AAV0686;2
JN290621_Anomopoda_sp_BOLD_AAV06865;2
JN290619_Anomopoda_sp_BOLD_AAV0686;2
JN290621_Anomopoda_sp_BOLD_AAV0686;2
MG448689_B_longirostris;2
MG448688_B_longirostris;2
MG449952_B_longirostris;2
COAPP312N13_Bosmina_Canada_BOLD_ABX4934;2
COAPP558N13_Bosmina_Canada_BOLD_ABX4934;2
ZPLCA001N06_Bosmina_Canada_BOLD_ABX4934;2
MG449967_B_longirostris_FREYI2_AK;2
MG450086_B_longirostris;2
MG449850_B_longirostris;2
MG450021_B_longirostris;2
MG449982_B_longirostris;2
MG450033_B_longirostris;2
MG449713_B_longirostris;2
