Sequence;MOTU_ABGD
ANDEA005N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA006N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA007N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA008N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA013N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA024N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA037N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA038N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA039N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA040N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA053N22_Bosmina_Colombia_BOLD_AFG0616;1
ANDEA054N22_Bosmina_Colombia_BOLD_AFG0616;1
ANDEA055N22_Bosmina_Colombia_BOLD_AFG0616;1
AY075057_B_coregoni;2
ESP505N14_B_meridionalis_Czechia_BOLD_AAO1376;2
ESP506N14_Bosmina_Czechia_BOLD_AAO1376;2
ESP507N14_B_meridionalis_Czechia_BOLD_AAO1376;2
ESP508N14_B_meridionalis_Czechia_BOLD_AAO1376;2
ESP509N14_B_meridionalis_Czechia_BOLD_AAO1376;2
KINBZ009N22_B_longirostris_Israel_BOLD_AAO1376;2
B_longirostris_Argentina01aa;3
B_longirostris_Argentina03aa;3
B_longirostris_Argentina04aa;3
B_longirostris_Argentina05aa;3
B_longirostris_Argentina06aa;3
CAISN069N12_Bosmina_Canada_BOLD_ACL8120;4
ESP292N12_B_longirostris_Spain_BOLD_ACA9544;4
LC215476_B_cf_longirostris;4
DNARA1185N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1186N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1187N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1188N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1189N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1190N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1191N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1626N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1627N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1628N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1629N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1631N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1632N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1653N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1655N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1658N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1659N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1660N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1666N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1667N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1809N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1821N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1822N21_Bosmina_Canada_BOLD_AEA5586;5
DNARA1823N21_Bosmina_Canada_BOLD_AEA5586;5
DNARC068N19_Bosmina_Canada_BOLD_AEA5586;5
DNARC070N19_Bosmina_Canada_BOLD_AEA5586;5
ESP197N12_Bosmina_Spain_BOLD_ACA1800;6
ESP198N12_Bosmina_Spain_BOLD_ACA1800;6
KINBZ001N22_B_longirostris_Israel_BOLD_AEO5856;7
KINBZ002N22_B_longirostris_Israel_BOLD_AEO5856;7
KINBZ003N22_B_longirostris_Israel_BOLD_AEO5856;7
KINBZ004N22_B_longirostris_Israel_BOLD_AEO5856;7
KINBZ005N22_B_longirostris_Israel_BOLD_AEO5856;7
KINBZ006N22_B_longirostris_Israel_BOLD_AEO5856;7
KINBZ007N22_B_longirostris_Israel_BOLD_AEO5856;7
KINBZ008N22_B_longirostris_Israel_BOLD_AEO5856;7
KINBZ010N22_B_longirostris_Israel_BOLD_AEO5856;7
KINBZ011N22_B_longirostris_Israel_BOLD_AEO5856;7
BACZP1167N16_B_liederi_Canada_BOLD_ABZ8276;8
BACZP1230N16_B_liederi_Canada_BOLD_ABZ8276;8
BACZP1255N16_B_liederi_Canada_BOLD_ABZ8276;8
CAISN079N12_B_liederi_Canada_BOLD_ABZ8276;8
COAPP287N13_Bosmina_Canada_BOLD_AAI4721;8
COAPP288N13_Bosmina_Canada_BOLD_AAI4721;8
COAPP297N13_Bosmina_Canada_BOLD_AAI4721;8
COAPP411N13_B_liederi_Canada_BOLD_ABZ8276;8
ESP199N12_B_liederi_Spain_BOLD_ABZ8276;8
ESP200N12_B_liederi_Spain_BOLD_ABZ8276;8
ESP201N12_B_liederi_Spain_BOLD_ABZ8276;8
EU702002_B_sp_BOLD_AAI4721;8
GLC040N06_B_liederi_Canada_Great_Lakes;8
HQ966469_B_liederi;8
HQ966470_B_liederi;8
HQ966471_B_liederi;8
JN233822_B_liederi;8
JN233823_B_liederi;8
JN233824_B_liederi;8
KT705731_B_liederi;8
KT706147_B_liederi;8
KT707374_B_liederi;8
KT707760_B_liederi;8
MG448613_B_liederi;8
MG448631_B_liederi;8
MG448650_B_liederi;8
MG448657_B_liederi;8
MG448707_B_liederi;8
MG448765_B_liederi;8
MG448819_B_liederi;8
MG448897_B_liederi;8
MG448968_B_liederi;8
MG448971_B_liederi;8
MG449046_B_liederi;8
MG449067_B_liederi;8
MG449077_B_liederi;8
MG449102_B_liederi;8
MG449147_B_liederi;8
MG449180_B_liederi;8
MG449184_B_liederi;8
MG449207_B_liederi;8
MG449247_B_liederi;8
MG449253_B_liederi;8
MG449265_B_liederi;8
MG449273_B_liederi;8
MG449280_B_liederi;8
MG449315_B_liederi;8
MG449317_B_liederi;8
MG449340_B_liederi;8
MG449357_B_liederi;8
MG449359_B_liederi;8
MG449386_B_liederi;8
MG449436_B_liederi;8
MG449441_B_liederi;8
MG449478_B_liederi;8
MG449481_B_liederi;8
MG449492_B_liederi;8
MG449530_B_liederi;8
MG449575_B_liederi;8
MG449583_B_liederi;8
MG449668_B_liederi;8
MG449685_B_liederi;8
MG449712_B_liederi;8
MG449716_B_liederi;8
MG449744_B_liederi;8
MG449799_B_liederi;8
MG449821_B_liederi;8
MG449841_B_liederi;8
MG449847_B_liederi;8
