Sequence;ASAP_patri;ASAP_pair;ABGD_init_patri;ABGD_init_pair;ABGD_recur_patri;ABGD_recur_pair;locMin_patri;locMin_pair;Ward_patri;Ward_pair;Refined_patri;Refined_pair;GMYC_single;GMYC_multi;bGMYC_001;bGMYC_005;mPTP;bPTP_p0.01;KoT_t4;KoT_t6;KoT_t8
ANDEA005N22_B_cf_korineki_Colombia_BOLD_AFG1465;1;1;1;1;1;1;1;1;1;1;1;1;1;9;8;9;2;1;1;1;1
ANDEA006N22_B_cf_korineki_Colombia_BOLD_AFG1465;1;1;1;1;1;1;1;1;1;1;1;1;1;9;8;9;2;1;1;1;1
ANDEA007N22_B_cf_korineki_Colombia_BOLD_AFG1465;1;1;1;1;1;1;1;1;1;1;1;1;1;9;8;9;2;1;1;1;1
ANDEA008N22_B_cf_korineki_Colombia_BOLD_AFG1465;1;1;1;1;1;1;1;1;1;1;1;1;1;9;8;9;2;1;1;1;1
ANDEA013N22_B_cf_korineki_Colombia_BOLD_AFG1465;1;1;1;1;1;1;1;1;1;1;1;1;1;9;8;9;2;1;1;1;1
ANDEA024N22_B_cf_korineki_Colombia_BOLD_AFG1465;1;1;1;1;1;1;1;1;1;1;1;1;1;9;8;9;2;1;1;1;1
ANDEA037N22_B_cf_korineki_Colombia_BOLD_AFG1465;1;1;1;1;1;1;1;1;1;1;1;1;1;9;8;9;2;1;1;1;1
ANDEA038N22_B_cf_korineki_Colombia_BOLD_AFG1465;1;1;1;1;1;1;1;1;1;1;1;1;1;9;8;9;2;1;1;1;1
ANDEA039N22_B_cf_korineki_Colombia_BOLD_AFG1465;1;1;1;1;1;1;1;1;1;1;1;1;1;9;8;9;2;1;1;1;1
ANDEA040N22_B_cf_korineki_Colombia_BOLD_AFG1465;1;1;1;1;1;1;1;1;1;1;1;1;1;9;8;9;2;1;1;1;1
ANDEA053N22_Bosmina_Colombia_BOLD_AFG0616;1;1;1;1;2;1;1;2;2;2;1;2;1;9;8;9;2;2;1;1;1
ANDEA054N22_Bosmina_Colombia_BOLD_AFG0616;1;1;1;1;2;1;1;2;2;2;1;2;1;9;8;9;2;2;1;1;1
ANDEA055N22_Bosmina_Colombia_BOLD_AFG0616;1;1;1;1;2;1;1;2;2;2;1;2;1;9;8;9;2;2;1;1;1
AY075057_B_coregoni;11;2;14;2;21;2;14;22;22;28;12;22;8;6;3;3;20;27;2;2;2
