Sequence;MOTU_Ward
ANDEA005N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA006N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA007N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA008N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA013N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA024N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA037N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA038N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA039N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA040N22_B_cf_korineki_Colombia_BOLD_AFG1465;1
ANDEA053N22_Bosmina_Colombia_BOLD_AFG0616;2
ANDEA054N22_Bosmina_Colombia_BOLD_AFG0616;2
ANDEA055N22_Bosmina_Colombia_BOLD_AFG0616;2
BCRUA087N10_Bosmina_United_States_BOLD_AAD9782;3
BCRUA088N10_Bosmina_United_States_BOLD_AAD9782;3
BCRUA159N10_Bosmina_United_States_BOLD_AAD9782;3
BCRUA161N10_Bosmina_United_States_BOLD_AAD9782;3
EU702024_Eubosmina_tubicen;3
EU702025_Eubosmina_tubicen;3
EU702026_Eubosmina_tubicen;3
EXDB1873N21_B_tubicen_Mexico_BOLD_AAD9782;3
JN294865_Anomopoda_sp_BOLD_AAD9782;3
JN294866_Anomopoda_sp_BOLD_AAD9782;3
JN294889_Anomopoda_sp_BOLD_AAD9782;3
JN294890_Anomopoda_sp_BOLD_AAD9782;3
KC617008_Eubosmina_tubicen;3
KC617009_Eubosmina_tubicen;3
KC617010_Eubosmina_tubicen;3
KC617012_Eubosmina_tubicen;3
KC617013_Eubosmina_tubicen;3
Liederobosmina_Guatemala01c;3
Liederobosmina_Guatemala01d;3
Liederobosmina_Guatemala01e;3
Liederobosmina_Mexico02a;3
Liederobosmina_Mexico02b;3
MZ517301_Eubosmina_tubicen;3
MZ517335_Eubosmina_tubicen;3
MZ517466_Eubosmina_tubicen;3
MZ517641_Eubosmina_tubicen;3
MZ517674_Eubosmina_tubicen;3
MZ517739_Eubosmina_tubicen;3
MZ517828_Eubosmina_tubicen;3
MZ517857_Eubosmina_tubicen;3
MZ517893_Eubosmina_tubicen;3
MZ517899_Eubosmina_tubicen;3
MZ517920_Eubosmina_tubicen;3
MZ517951_Eubosmina_tubicen;3
SKAAN072N19_B_tubicen_Mexico_BOLD_AAD9782;3
SKAAN074N19_B_tubicen_Mexico_BOLD_AAD9782;3
SKAAN075N19_B_tubicen_Mexico_BOLD_AAD9782;3
SKAAN126N19_B_tubicen_Mexico_BOLD_AAD9782;3
SKAAN128N19_B_tubicen_Mexico_BOLD_AAD9782;3
SKAAN305N19_B_tubicen_Mexico_BOLD_AAD9782;3
SKAAN316N19_B_tubicen_Mexico_BOLD_AAD9782;3
SKAAN737N19_B_tubicen_Mexico_BOLD_AAD9782;3
SKAAN742N19_B_tubicen_Mexico_BOLD_AAD9782;3
SKAAN872N19_B_tubicen_Mexico_BOLD_AAD9782;3
SKAAN883N19_B_tubicen_Mexico_BOLD_AAD9782;3
SKAAN890N19_B_tubicen_Mexico_BOLD_AAD9782;3
ZPLMX140N06_B_tubicen_Guatemala_BOLD_AAD9782;3
ZPLMX141N06_B_tubicen_Guatemala_BOLD_AAD9782;3
ZPLMX409N06_B_tubicen_Guatemala_BOLD_AAD9782;3
COAPP328N13_Bosmina_Canada_BOLD_ACF9023;4
COAPP329N13_Bosmina_Canada_BOLD_ACF9023;4
COAPP559N13_Bosmina_Canada_BOLD_ACF9023;4
Liederobosmina_USA05a;4
Liederobosmina_USA11a;4
Liederobosmina_USA11b;4
Liederobosmina_USA11c;4
Liederobosmina_USA11d;4
Liederobosmina_USA11e;4
Liederobosmina_USA13a;4
Liederobosmina_USA14a;4
Liederobosmina_USA14b;4
Liederobosmina_USA20a;4
Liederobosmina_USA21a;4
Liederobosmina_USA21b;4
Liederobosmina_USA23a;4
Liederobosmina_USA08a;5
Liederobosmina_USA08b;5
EU702022_Eubosmina_tubicen;6
EU702023_Eubosmina_tubicen;6
EXDB448N20_B_tubicen_Mexico_BOLD_AAD9782;6
EXDB579N21_B_tubicen_Mexico_BOLD_AAD9782;6
EXDB731N21_B_tubicen_Mexico_BOLD_AAD9782;6
EXDB732N21_B_tubicen_Mexico_BOLD_AAD9782;6
KC617011_Eubosmina_tubicen;6
KC617494_Eubosmina_tubicen;6
KC617636_Eubosmina_tubicen;6
Liederobosmina_Guatemala01a;6
Liederobosmina_Guatemala01b;6
Liederobosmina_Mexico03a;6
ZPLIV669N11_B_bosmina_tubicen_Mexico_BOLD_AAD9782;6
ZPLMX410N06_B_tubicen_Guatemala_BOLD_AAD9782;6
ZPLMX411N06_B_tubicen_Guatemala_BOLD_AAD9782;6
CAZUL101N17_B_tubicen_Mexico_BOLD_AAD9782;7
CAZUL102N17_B_tubicen_Mexico_BOLD_AAD9782;7
CAZUL104N17_B_tubicen_Mexico_BOLD_AAD9782;7
CAZUL105N17_B_tubicen_Mexico_BOLD_AAD9782;7
CAZUL191N17_B_tubicen_Mexico_BOLD_AAD9782;7
CAZUL192N17_B_tubicen_Mexico_BOLD_AAD9782;7
CAZUL193N17_B_tubicen_Mexico_BOLD_AAD9782;7
CAZUL194N17_B_tubicen_Mexico_BOLD_AAD9782;7
CAZUL195N17_B_tubicen_Mexico_BOLD_AAD9782;7
MT888232_Eubosmina_tubicen;7
MT888247_Eubosmina_tubicen;7
MT888279_Eubosmina_tubicen;7
MT888325_Eubosmina_tubicen;7
MT888336_Eubosmina_tubicen;7
MT888361_Eubosmina_tubicen;7
MT888366_Eubosmina_tubicen;7
MT888464_Eubosmina_tubicen;7
MT888481_Eubosmina_tubicen;7
Liederobosmina_chilense_Argentina08a;8
Liederobosmina_chilense_Argentina08b;8
Liederobosmina_chilense_Argentina08c;8
Liederobosmina_chilense_Argentina08d;8
Liederobosmina_chilense_Argentina09a;9
Liederobosmina_chilense_Chile02a;9
KC508661_B_meridionalis;10
KC508662_B_meridionalis;10
Liederobosmina_meridionalis_Australia02a;10
Liederobosmina_meridionalis_Australia02b;10
Liederobosmina_meridionalis_Australia01a;11
Liederobosmina_Argentina03a;12
Liederobosmina_Argentina03c;12
Liederobosmina_Argentina03d;12
